fid,customer_name,account_site_nbr,state,latitude,longitude,new_tgt_cnt_4mi,new_tgt_cnt_3mi,new_tgt_cnt_2mi
47,Walmart,"14695251",AL,33.938,-86.487,,,
48,Dollar Tree,"66043735",AL,33.942,-86.477,,,
49,Family Dollar,"5245435",AL,33.956,-86.465,,,
50,Walmart,"46438874",AL,33.972,-86.449,,,
51,Family Dollar,"43259177",AL,34.02827401,-86.32163002,,,
52,Dollar Tree,"6594469",AL,34.065,-86.765,3,3,3
53,Family Dollar,"42964271",AL,34.084547,-86.590906,1,1,
54,Walmart,"8078404",AL,34.117,-86.391,,,
55,Family Dollar,"43228638",AL,34.121152,-86.395509,,,
56,Walmart,"67423939",AL,34.135,-86.848,4,2,1
57,Walmart,"2539963",AL,34.142,-86.846,7,3,2
58,Walmart,"67318736",AL,34.149,-86.842,7,5,2
59,Family Dollar,"5244724",AL,34.174,-86.615,2,2,2
60,Macy�s,"6902707",AL,34.182,-86.818,8,7,2
61,Dollar Tree,"64310302",AL,34.183,-86.842,9,8,6
62,Walmart,"8381319",AL,34.207,-86.867,8,5,2
63,Macy�s,"7672342",AL,34.243,-86.946,2,2,2
64,Walmart,"25277928",AL,31.825,-86.63,1,1,1
65,Family Dollar,"5670870",AL,31.83,-86.622,1,1,1
66,Dollar Tree,"67325394",AL,31.831,-86.627,1,1,1
67,Walmart,"2433119",AL,31.848,-86.647,1,1,1
68,Pilot,"8615762",AL,33.594,-86.122,1,1,1
69,Pilot,"42622030",AL,33.594147,-86.122101,1,1,1
70,Walmart,"2539960",AL,33.597,-85.817,10,9,5
71,Dollar Tree,"65447263",AL,33.6,-85.825,10,9,5
72,Home Depot,"4734286",AL,33.605,-85.784,10,6,4
73,Target,"7264923",AL,33.609,-85.783,10,6,4
74,Walmart,"7950106",AL,33.61,-85.777,9,6,4
75,Dollar Tree,"67275377",AL,33.662,-85.829,4,2,1
76,Family Dollar,"5244823",AL,33.667,-85.827,3,2,1
77,Family Dollar,"5244871",AL,33.688,-85.823,4,2,1
78,Walmart,"14603071",AL,33.72,-85.819,3,3,1
79,Walmart,"15599175",AL,33.788,-85.764,1,1,1
80,Dollar Tree,"6299737",AL,33.815,-85.764,1,1,1
81,Family Dollar,"5244834",AL,33.934,-85.603,,,
82,Dollar Tree,"7696858",AL,33.941,-86.063,,,
83,Family Dollar,"8067543",AL,32.799,-85.183,5,3,2
84,Dollar Tree,"67378962",AL,32.813,-85.182,9,5,3
85,Walmart,"63909251",AL,32.838,-85.177,15,9,3
86,Family Dollar,"5471419",AL,32.872,-85.186,9,9,7
87,Family Dollar,"5471392",AL,32.88,-85.406,1,1,1
88,Family Dollar,"5244817",AL,34.157,-85.699,2,2,2
89,Dollar Tree,"6178384",AL,34.157,-85.675,2,2,1
90,Walmart,"67447648",AL,34.161,-85.714,2,2,2
91,Walmart,"46624708",AL,34.439,-85.761,3,3,2
92,Dollar Tree,"66922941",AL,34.458,-85.705,3,1,
93,Walmart,"15596257",AL,32.818,-86.607,3,3,
94,Dollar Tree,"46746889",AL,32.847,-86.631,,,
95,Family Dollar,"6594569",AL,32.958,-86.743,1,1,1
96,Family Dollar,"42960981",AL,31.756203,-88.084779,,,
97,Family Dollar,"5471122",AL,32.09,-88.224,1,1,1
98,Dollar Tree,"42664916",IN,32.09185,-88.22132,1,1,1
99,Family Dollar,"5471497",AL,31.263,-88.03,1,1,1
100,Family Dollar,"5471459",AL,31.524,-87.895,1,1,
101,Dollar Tree,"6551815",AL,31.532,-87.886,1,1,1
102,Walmart,"65956923",AL,31.559,-87.876,1,1,1
103,Family Dollar,"7910913",AL,31.704,-87.776,2,2,2
104,Dollar Tree,"1982952",AL,31.918,-87.741,,,
105,Walmart,"15597342",AL,31.94,-87.737,,,
106,Family Dollar,"2789076",AL,33.436,-86.096,3,2,1
107,Walmart,"14601907",AL,33.438,-86.081,2,1,1
108,Dollar Tree,"67351137",AL,33.438,-86.107,3,2,2
109,Walmart,"13709690",AL,31.315,-85.829,8,8,5
110,Macy�s,"6829501",AL,31.327,-85.837,8,8,6
111,Dollar Tree,"3161380",AL,31.332,-85.846,8,7,5
112,Walmart,"45616183",AL,34.745,-87.67,4,3,1
113,Dollar Tree,"25750224",AL,34.749,-87.642,3,3,2
114,Walmart,"7766362",AL,34.819,-87.658,12,11,3
115,Dollar Tree,"30684811",AL,34.828,-87.667,12,11,3
116,Walmart,"7324234",AL,34.834,-87.626,11,10,8
117,Home Depot,"2657759",AL,34.836,-87.628,11,10,8
118,Macy�s,"6927287",AL,34.838,-87.634,11,10,8
119,Walmart,"15590550",AL,34.839,-87.635,11,10,7
120,Target,"5503330",AL,34.841,-87.638,12,10,7
121,Walmart,"7770138",AL,34.842,-87.688,10,4,1
122,Family Dollar,"5671158",AL,34.864,-87.692,3,1,1
123,Family Dollar,"5471137",AL,31.433,-86.956,3,3,3
124,Walmart,"5798747",AL,31.482,-87.331,4,4,
125,Dollar Tree,"67394263",AL,31.518,-87.326,4,4,4
126,Family Dollar,"43097011",AL,33.058303,-86.054574,,,
127,Family Dollar,"5471111",AL,31.005,-86.329,2,2,2
128,Family Dollar,"5471667",AL,31.286,-86.256,,,
129,Walmart,"15587495",AL,31.304,-86.501,1,1,1
130,Dollar Tree,"6476711",AL,31.308,-86.478,1,1,1
131,Walmart,"4852627",AL,31.309,-86.474,1,1,1
132,Family Dollar,"5471663",AL,31.319,-86.46,1,1,
133,Family Dollar,"5671105",AL,31.705,-86.265,,,
134,Family Dollar,"5244730",AL,34.21,-87.052,,,
135,Walmart,"15601781",AL,31.222,-85.417,14,11,5
136,Dollar Tree,"65446119",AL,31.225,-85.419,14,12,7
137,Walmart,"8603918",AL,31.232,-85.448,16,12,3
138,Macy�s,"6500686",AL,31.247,-85.427,17,14,7
139,Macy�s,"6496036",AL,31.247,-85.428,17,14,7
140,Home Depot,"2000940",AL,31.249,-85.429,17,14,7
141,Family Dollar,"5471047",AL,31.259,-85.433,15,11,10
142,Target,"4855083",AL,31.267,-85.444,11,10,7
143,Walmart,"67379996",AL,31.267,-85.441,11,10,9
144,Family Dollar,"5471301",AL,31.298,-85.719,1,,
145,Dollar Tree,"2678514",AL,31.433,-85.659,2,2,1
146,Walmart,"13709038",AL,31.444,-85.651,2,2,2
147,Family Dollar,"5471483",AL,31.462,-85.641,2,2,2
148,Family Dollar,"5671219",AL,32.416,-87.025,2,2,2
149,Dollar Tree,"46418997",AL,32.419,-87.028,2,2,2
150,Walmart,"7915626",AL,32.433,-87.014,2,2,2
151,Family Dollar,"5670866",AL,32.438,-87.02,2,2,1
152,Family Dollar,"7944859",AL,32.619,-87.317,,,
153,Family Dollar,"42526801",AL,34.359369,-86.006181,1,1,1
154,Dollar Tree,"10289427",AL,34.495,-85.847,1,,
155,Family Dollar,"5244747",AL,34.586,-85.991,,,
156,Dollar Tree,"8409987",AL,34.661,-86.033,2,2,2
157,Home Depot,"2001007",AL,34.668,-86.01,2,1,1
158,Walmart,"65955978",AL,34.669,-86.009,2,1,1
159,Family Dollar,"5244798",AL,34.674,-86.033,2,2,2
160,Family Dollar,"5244765",AL,34.697,-85.669,,,
161,Pilot,"42979325",GA,34.769956,-85.543017,1,1,1
162,Pilot,"67430416",GA,34.77,-85.543,1,1,1
163,Family Dollar,"5670904",AL,32.415,-86.286,3,2,
164,Target,"5110410",AL,32.458,-86.396,9,7,4
165,Home Depot,"5233563",AL,32.458,-86.4,9,8,5
166,Walmart,"7260942",AL,32.494,-86.399,8,6,3
167,Dollar Tree,"67429595",AL,32.501,-86.373,6,1,
168,Walmart,"67428535",AL,32.507,-86.212,2,2,2
169,Walmart,"15588076",AL,32.511,-86.213,2,2,2
170,Family Dollar,"5671192",AL,32.513,-86.213,2,2,2
171,Family Dollar,"7834647",AL,32.513,-86.38,2,1,
172,Publix,"43211413",AL,32.51486254,-86.21237565,2,2,2
173,Dollar Tree,"7377701",AL,32.542,-85.893,1,1,1
174,Family Dollar,"5670864",AL,32.543,-85.903,1,1,1
175,Dollar Tree,"5095003",AL,32.547,-86.207,2,1,
176,Walmart,"14843293",AL,32.551,-85.917,1,1,1
177,Walmart,"7928119",AL,32.565,-85.932,1,1,1
178,Family Dollar,"7169814",FL,30.996,-87.26,2,2,2
179,Dollar Tree,"5926907",AL,31.118,-87.065,2,2,1
180,Family Dollar,"5471230",AL,31.124,-87.069,2,2,
181,Walmart,"25767216",AL,31.139,-87.069,2,,
182,Walmart,"5654556",AL,31.147,-87.067,,,
183,Family Dollar,"42588178",KS,33.98545,-85.86782,1,1,1
184,Walmart,"2363653",AL,33.995,-86.094,2,2,2
185,Family Dollar,"5245432",AL,33.997,-85.968,8,5,
186,Walmart,"15594912",AL,34.004,-85.996,10,9,7
187,Macy�s,"8528548",AL,34.01,-86.009,10,10,8
188,Walmart,"7325536",AL,34.01,-85.988,10,9,6
189,Walmart,"15596060",AL,34.011,-86.102,2,2,2
190,Dollar Tree,"45853355",AL,34.012,-86.005,10,10,8
191,Dollar Tree,"2920817",AL,34.013,-86.098,2,2,2
192,Macy�s,"8550411",AL,34.018,-85.998,10,9,8
193,Family Dollar,"5244835",AL,34.021,-86.09,2,2,1
194,Family Dollar,"5244818",AL,34.023,-86.02,10,9,4
195,Family Dollar,"5244828",AL,34.199,-86.161,3,3,3
196,Family Dollar,"7989456",AL,33.644,-87.629,3,3,1
197,Walmart,"14693380",AL,33.688,-87.833,,,
198,Dollar Tree,"8024924",AL,33.691,-87.833,,,
199,Walmart,"66015634",AL,33.734,-87.809,,,
200,Walmart,"2667450",AL,34.494,-87.726,1,1,1
201,Family Dollar,"5672313",AL,34.497,-87.722,1,1,1
202,Dollar Tree,"6021818",AL,34.504,-87.73,1,1,1
203,Walmart,"15596281",AL,34.515,-87.717,1,1,1
204,Dollar Tree,"8344765",AL,31.033,-85.878,1,1,1
205,Family Dollar,"5671071",AL,32.84,-87.885,,,
206,Family Dollar,"5670876",AL,33.127,-88.151,2,2,2
207,Walmart,"7324260",AL,32.494,-87.85,1,1,1
208,Walmart,"46511091",AL,32.5,-87.843,1,1,1
209,Walmart,"14843080",AL,32.503,-87.816,1,1,
210,Dollar Tree,"9548806",AL,32.503,-87.826,1,1,1
211,Family Dollar,"5672309",AL,32.507,-87.838,1,1,1
212,Family Dollar,"9382333",AL,32.706,-87.595,2,2,2
213,Walmart,"8020571",AL,31.312,-85.301,,,
214,Family Dollar,"5471457",AL,31.569,-85.25,2,2,2
215,Family Dollar,"43183742",GA,31.61241889,-85.04979271,,,
216,Walmart,"63762994",AL,31.179,-85.404,6,3,1
217,Family Dollar,"5471468",AL,31.184,-85.238,1,1,1
218,Family Dollar,"5471661",AL,31.212,-85.393,12,5,3
219,Family Dollar,"8138038",AL,31.221,-85.373,8,3,
220,Family Dollar,"5471393",AL,31.238,-85.408,17,13,9
221,Family Dollar,"42722080",AL,34.501652,-86.261005,1,1,1
222,Family Dollar,"5244697",AL,34.873,-85.815,,,
223,Macy�s,"5634470",AL,33.273,-86.794,8,5,1
224,Walmart,"2342546",AL,33.278,-86.778,5,4,1
225,Walmart,"7687776",AL,33.28,-86.851,3,2,2
226,Publix,"2328063",AL,33.28,-86.852,3,2,2
227,Walmart,"6038607",AL,33.284,-86.874,2,1,1
228,Home Depot,"67411519",AL,33.284,-86.81,6,6,5
229,Walmart,"2663339",AL,33.301,-86.813,8,5,3
230,Dollar Tree,"5386269",AL,33.302,-86.798,7,4,3
231,Dollar Tree,"5012910",AL,33.333,-86.637,1,1,
232,Target,"5482292",AL,33.334,-86.99,5,3,3
233,Target,"42763646",AL,33.334508,-86.989688,5,4,3
234,Walmart,"2209104",AL,33.339,-86.793,20,5,3
235,Walmart,"5250021",AL,33.35,-86.618,1,1,1
236,Macy�s,"6479392",AL,33.353,-86.608,1,1,1
237,Publix,"6036670",AL,33.354,-86.844,12,6,3
238,Publix,"67411888",AL,33.355,-86.841,13,8,3
239,Walmart,"45862656",AL,33.361,-87.002,5,4,1
240,Target,"42755610",AL,33.361856,-86.853216,12,5,4
241,Walmart,"67368293",AL,33.365,-86.824,21,14,11
242,Walmart,"7261071",AL,33.366,-86.823,21,15,11
243,Whole Foods,"8875931",AL,33.376,-86.802,20,15,12
244,Home Depot,"45286817",AL,33.377,-86.81,21,15,12
245,Macy�s,"9962317",AL,33.377,-86.807,20,16,12
246,Walmart,"8117326",AL,33.384,-86.74,5,1,1
247,Publix,"5634543",AL,33.386,-86.739,6,1,1
248,Dollar Tree,"2640597",AL,33.387,-86.798,16,15,12
249,Family Dollar,"7905648",AL,33.388,-86.967,5,4,3
250,Dollar Tree,"46594752",AL,33.389,-86.944,4,4,2
251,Walmart,"7766472",AL,33.394,-86.799,17,12,12
252,Family Dollar,"7211549",AL,33.403,-86.957,5,5,4
253,Family Dollar,"2737130",AL,33.405,-86.958,5,5,4
254,Publix,"6236219",AL,33.408,-86.668,7,5,3
255,Macy�s,"7417351",AL,33.413,-86.675,7,7,5
256,Home Depot,"66180112",AL,33.419,-86.691,8,7,7
257,Walmart,"67324919",AL,33.419,-86.676,7,7,5
258,Target,"5873900",AL,33.422,-86.847,6,3,2
259,Target,"42755745",AL,33.425388,-86.712553,11,7,4
260,Target,"5489613",AL,33.428,-86.708,10,7,4
261,Walmart,"5300829",AL,33.429,-86.79,13,3,1
262,Dollar Tree,"2223022",AL,33.433,-87.003,7,3,1
263,Walmart,"31546161",AL,33.434,-86.676,8,7,3
264,Family Dollar,"7760890",AL,33.434,-86.938,9,5,3
265,Ahold Delhaize,"8557953",AL,33.441,-87.001,6,4,2
266,Walmart,"2344973",AL,33.443,-86.839,12,8,1
267,Home Depot,"6719082",AL,33.443,-86.839,12,8,1
268,Publix,"67411890",AL,33.445,-86.793,13,8,2
269,Walmart,"7939884",AL,33.447,-86.819,13,9,7
270,Walmart,"25279068",AL,33.447,-86.821,13,9,7
271,Home Depot,"6892675",AL,33.447,-86.851,11,8,1
272,Family Dollar,"2789101",AL,33.448,-86.995,6,4,2
273,Family Dollar,"2737662",AL,33.449,-86.916,4,2,2
274,Dollar Tree,"5706369",AL,33.45,-86.757,11,7,2
275,Macy�s,"45434840",AL,33.451,-86.825,15,8,6
276,Family Dollar,"2789068",AL,33.451,-86.925,5,3,2
277,Macy�s,"6075094",AL,33.453,-86.978,7,3,3
278,Walmart,"5617383",AL,33.458,-86.968,7,4,3
279,Publix,"6036668",AL,33.464,-86.821,16,10,7
280,Publix,"1997138",AL,33.466,-86.733,9,6,3
281,Publix,"67436059",AL,33.466,-86.822,16,11,7
282,Walmart,"4830399",AL,33.466,-86.915,4,2,2
283,Dollar Tree,"25750291",AL,33.466,-86.806,14,14,8
284,Macy�s,"14410583",AL,33.468,-86.775,18,9,4
285,Target,"7197831",AL,33.468,-86.775,18,9,4
286,Walmart,"5240545",AL,33.468,-86.82,16,11,6
287,Macy�s,"66278856",AL,33.47,-86.771,18,10,4
288,Family Dollar,"7357072",AL,33.47,-86.884,4,3,1
289,Target,"42757031",AL,33.470215,-86.771966,18,11,4
290,Dollar Tree,"46270655",AL,33.477,-86.917,4,2,2
291,Macy�s,"10025222",AL,33.477,-86.866,9,2,2
292,Home Depot,"45347662",AL,33.477,-86.922,3,2,2
293,Family Dollar,"2737657",AL,33.48,-86.862,9,3,2
294,Family Dollar,"2737082",AL,33.481,-86.844,13,8,4
295,Family Dollar,"4689738",AL,33.481,-86.894,4,3,1
296,Publix,"10264258",AL,33.484,-86.676,1,1,1
297,Publix,"67239002",AL,33.488,-86.793,18,15,5
298,Family Dollar,"7192188",AL,33.495,-86.827,16,13,2
299,Family Dollar,"2737439",AL,33.497,-86.876,4,2,2
300,Family Dollar,"2789078",AL,33.501,-86.911,4,,
301,Family Dollar,"5413293",AL,33.505,-86.893,4,2,
302,Family Dollar,"2738274",AL,33.505,-86.859,6,3,1
303,Family Dollar,"7191162",AL,33.512,-86.836,13,6,1
304,Family Dollar,"2737638",AL,33.515,-86.807,12,6,5
305,Pilot,"9743026",AL,33.517,-86.808,12,6,5
306,Dollar Tree,"65447441",AL,33.518,-86.813,11,7,4
307,Pilot,"46818472",AL,33.519,-86.807,12,7,5
308,Publix,"5634375",AL,33.521,-86.731,11,8,5
309,Family Dollar,"2737334",AL,33.526,-86.766,15,9,2
310,Walmart,"5362984",AL,33.528,-86.72,10,9,6
311,Home Depot,"64209342",AL,33.528,-86.729,11,8,7
312,Pilot,"42979297",AL,33.529676,-86.852488,6,2,1
313,Macy�s,"67257967",AL,33.53,-86.725,10,9,6
314,Walmart,"30745985",AL,33.53,-86.695,8,8,5
315,Pilot,"6849717",AL,33.53,-86.851,6,3,1
316,Family Dollar,"5277303",AL,33.534,-86.8,12,6,5
317,Family Dollar,"6019397",AL,33.539,-86.753,12,8,3
318,Family Dollar,"7243574",AL,33.541,-86.871,5,2,1
319,Walmart,"2329065",AL,33.542,-86.864,5,1,1
320,Family Dollar,"8396644",AL,33.55,-86.739,10,7,3
321,Family Dollar,"2789093",AL,33.553,-86.819,7,6,2
322,Family Dollar,"2789104",AL,33.558,-86.733,11,6,
323,Walmart,"13368087",AL,33.562,-86.519,2,1,1
324,Family Dollar,"2738260",AL,33.569,-86.9,3,3,3
325,Walmart,"15597571",AL,33.574,-86.907,3,3,3
326,Walmart,"2219627",AL,33.581,-86.923,3,3,3
327,Family Dollar,"10250415",AL,33.588,-86.692,8,2,1
328,Walmart,"2003563",AL,33.59,-86.699,4,2,1
329,Family Dollar,"2789086",AL,33.59,-86.767,6,2,
330,Ahold Delhaize,"8509234",AL,33.597,-86.694,6,2,1
331,Target,"5489656",AL,33.602,-86.639,7,5,4
332,Target,"42755747",AL,33.605602,-86.637346,7,5,4
333,Target,"42756388",AL,33.606138,-86.806038,6,5,4
334,Walmart,"7946279",AL,33.609,-86.819,6,5,4
335,Family Dollar,"6145260",AL,33.609,-86.688,6,4,2
336,Home Depot,"66929385",AL,33.636,-86.579,3,1,1
337,Dollar Tree,"67415196",AL,33.636,-86.576,3,1,1
338,Walmart,"7337349",AL,33.638,-86.684,3,1,
339,Family Dollar,"7246506",AL,33.639,-86.684,3,1,
340,Publix,"5634385",AL,33.641,-86.58,3,1,1
341,Dollar Tree,"66168198",AL,33.642,-86.682,4,1,
342,Family Dollar,"2737654",AL,33.643,-86.706,,,
343,Walmart,"66594332",AL,33.643,-86.627,7,3,3
344,Walmart,"7261095",AL,33.647,-86.823,5,1,1
345,Walmart,"15594874",AL,33.65,-86.823,4,1,1
346,Publix,"6075088",AL,33.656,-86.645,4,3,3
347,Ahold Delhaize,"8538617",AL,33.704,-86.662,3,1,1
348,Walmart,"65962826",AL,33.743,-87.042,4,3,3
349,Family Dollar,"2737364",AL,33.743,-87.269,,,
350,Family Dollar,"5671109",AL,33.754,-88.115,,,
351,Family Dollar,"42913523",LA,33.75443,-88.111919,,,
352,Family Dollar,"10552433",AL,33.901,-88.135,3,3,3
353,Dollar Tree,"8441624",MS,34.806,-88.195,1,1,1
354,Walmart,"15594297",MS,34.81,-88.199,1,1,1
355,Family Dollar,"5671087",AL,34.826,-87.286,,,
356,Family Dollar,"5671177",AL,34.954,-87.53,1,,
357,Family Dollar,"43225471",AL,34.960016,-87.527249,1,,
358,Walmart,"14695871",AL,34.485,-87.275,,,
359,Walmart,"2665385",AL,34.493,-87.273,,,
360,Family Dollar,"5671142",AL,34.681,-87.402,1,1,1
361,Family Dollar,"6042606",AL,32.423,-85.692,2,2,1
362,Family Dollar,"5471095",AL,32.432,-85.026,7,2,1
363,Family Dollar,"5471204",AL,32.454,-85.008,12,9,3
364,Walmart,"64919560",AL,32.462,-85.023,13,10,6
365,Dollar Tree,"67203598",AL,32.465,-85.018,14,9,6
366,Walmart,"8461073",AL,32.47,-85.084,4,1,1
367,Pilot,"43277042",AL,32.471548,-85.69039,,,
368,Family Dollar,"7841677",AL,32.474,-85.017,16,11,7
369,Walmart,"23793449",AL,32.475,-85.024,14,11,7
370,Dollar Tree,"42459169",AL,32.482961,-85.046081,9,9,5
371,Walmart,"2887388",AL,32.484,-85.017,15,11,7
372,Family Dollar,"5471357",AL,32.496,-85.018,15,10,5
373,Walmart,"12620556",AL,32.571,-85.496,5,1,1
374,Family Dollar,"7289603",AL,32.611,-85.49,9,6,5
375,Dollar Tree,"8758080",AL,32.613,-85.481,9,8,4
376,Target,"2800924",AL,32.618,-85.408,14,11,5
377,Home Depot,"2313615",AL,32.62,-85.406,12,11,6
378,Walmart,"8452111",AL,32.625,-85.45,13,11,5
379,Walmart,"15416755",AL,32.629,-85.5,8,4,1
380,Walmart,"67334209",AL,32.637,-85.423,15,10,8
381,Macy�s,"6734557",AL,32.638,-85.48,8,7,1
382,Walmart,"46531858",AL,32.64,-85.414,12,11,8
383,Dollar Tree,"9125770",AL,32.641,-85.393,14,9,8
384,Walmart,"66493315",AL,32.642,-85.376,11,11,6
385,Dollar Tree,"30340926",AL,32.643,-85.383,12,11,5
386,Family Dollar,"5471197",AL,32.644,-85.39,12,11,7
387,Walmart,"15586391",AL,32.648,-85.388,12,11,6
388,Walmart,"2623952",AL,32.693,-85.324,,,
389,Walmart,"11677597",AL,32.697,-85.323,,,
390,Walmart,"7325603",AL,34.557,-86.997,12,11,10
391,Home Depot,"65368584",AL,34.558,-87.006,12,11,10
392,Target,"5489435",AL,34.56,-86.971,11,8,1
393,Publix,"67437244",AL,34.565,-87.013,12,12,10
394,Walmart,"7945213",AL,34.574,-87,12,12,11
395,Family Dollar,"5671120",AL,34.58,-86.978,12,11,3
396,Dollar Tree,"4730311",AL,34.581,-86.997,12,12,10
397,Walmart,"7335679",AL,34.589,-86.981,12,9,2
398,Family Dollar,"5471414",AL,34.604,-87,12,6,1
399,Publix,"6087266",AL,34.729,-86.786,10,4,2
400,Walmart,"46215840",AL,34.787,-86.959,5,4,3
401,Walmart,"15594599",AL,34.79,-86.976,5,5,4
402,Dollar Tree,"65439767",AL,34.791,-86.958,5,4,3
403,Family Dollar,"43228636",AL,34.79113681,-87.01327221,4,1,1
404,Family Dollar,"5471658",AL,34.799,-86.972,5,5,4
405,Dollar Tree,"66168848",TN,34.993,-86.849,1,1,
406,Family Dollar,"7760916",AL,32.181,-86.579,1,1,1
407,Dollar Tree,"7696876",AL,32.423,-85.72,2,2,2
408,Walmart,"46299475",AL,34.616,-86.567,6,5,2
409,Publix,"11784520",AL,34.623,-86.538,6,6,2
410,Home Depot,"4856311",AL,34.646,-86.567,9,8,4
411,Walmart,"8482749",AL,34.647,-86.541,9,7,3
412,Walmart,"2681873",AL,34.66,-86.487,4,3,3
413,Dollar Tree,"10682996",AL,34.66,-86.487,4,3,3
414,Target,"42772116",AL,34.674721,-86.544054,6,4,2
415,Target,"5503291",AL,34.675,-86.544,6,4,2
416,Walmart,"65087313",AL,34.681,-86.741,8,5,3
417,Publix,"6236222",AL,34.692,-86.718,9,6,3
418,Publix,"46274596",AL,34.693,-86.567,10,8,4
419,Walmart,"8046036",AL,34.695,-86.372,2,2,2
420,Walmart,"7982703",AL,34.703,-86.587,14,8,6
421,Family Dollar,"5471363",AL,34.704,-86.609,13,8,6
422,Walmart,"46610200",AL,34.706,-86.59,15,8,7
423,Publix,"46572287",AL,34.706,-86.746,10,9,5
424,Whole Foods,"8754240",AL,34.712,-86.589,15,11,6
425,Whole Foods,"8405699",AL,34.712,-86.59,14,11,6
426,Dollar Tree,"3049148",AL,34.713,-86.591,14,11,6
427,Whole Foods,"8142182",AL,34.714,-86.591,14,11,6
428,Walmart,"8095945",AL,34.715,-86.756,15,7,6
429,Dollar Tree,"25749463",AL,34.715,-86.756,15,7,6
430,Walmart,"8835949",AL,34.715,-86.627,13,10,2
431,Family Dollar,"5471235",AL,34.72,-86.616,15,11,4
432,Family Dollar,"7989454",AL,34.726,-86.628,16,10,1
433,Walmart,"7337764",AL,34.731,-86.57,16,11,3
434,Walmart,"8012849",AL,34.736,-86.66,9,6,5
435,Family Dollar,"8143205",AL,34.737,-86.607,17,13,5
436,Dollar Tree,"65594177",AL,34.741,-86.601,15,13,5
437,Home Depot,"67218446",AL,34.741,-86.601,15,13,5
438,Target,"5501289",AL,34.742,-86.682,8,5,5
439,Walmart,"7215276",AL,34.746,-86.676,7,5,5
440,Walmart,"7261275",AL,34.749,-86.773,11,9,2
441,Target,"9994387",AL,34.75,-86.756,15,10,6
442,Walmart,"8012857",AL,34.75,-86.634,13,7,
443,Family Dollar,"5671221",AL,34.756,-86.64,12,7,
444,Publix,"66581478",AL,34.756,-86.743,13,7,6
445,Home Depot,"67212910",AL,34.757,-86.739,11,7,6
446,Family Dollar,"5670867",AL,34.762,-86.579,9,8,5
447,Walmart,"2209493",AL,34.763,-86.596,10,7,6
448,Walmart,"13815520",AL,34.767,-86.586,9,7,5
449,Family Dollar,"5671247",AL,34.77,-86.617,8,6,1
